"Performance metrics","Simeone and Wilson 2003 (0.3m)","Takahashi et al. 2004","Halsey et al. 2007 (0.5m)","Halsey et al. 2007 (2m)"
"Sensitivity",0.86,0.81,0.77,0.56
"Specificity",0.59,0.4,0.72,0.91
"Pos Pred Value",0.71,0.61,0.76,0.88
"Neg Pred Value",0.78,0.64,0.73,0.64
"Precision",0.71,0.61,0.76,0.88
"Recall",0.86,0.81,0.77,0.56
"F1",0.78,0.7,0.77,0.69
"Prevalence",0.54,0.54,0.54,0.54
"Detection Rate",0.46,0.44,0.42,0.3
"Detection Prevalence",0.65,0.71,0.55,0.34
"Balanced Accuracy",0.72,0.61,0.74,0.74
